repo,gold_kind,zoekt_MRR,zoekt_hit1,zoekt_hit2,zoekt_hit3,zoekt_n,zoekt_p95ms,zoekt_p100ms,semantic_MRR,semantic_hit1,semantic_hit2,semantic_hit3,semantic_n,semantic_p95ms,semantic_p100ms,lexical_MRR,lexical_hit1,lexical_hit2,lexical_hit3,lexical_n,lexical_p95ms,lexical_p100ms,lexical+zoekt_MRR,lexical+zoekt_hit1,lexical+zoekt_hit2,lexical+zoekt_hit3,lexical+zoekt_n,lexical+zoekt_p95ms,lexical+zoekt_p100ms,lexical+zoekt+semantic_MRR,lexical+zoekt+semantic_hit1,lexical+zoekt+semantic_hit2,lexical+zoekt+semantic_hit3,lexical+zoekt+semantic_n,lexical+zoekt+semantic_p95ms,lexical+zoekt+semantic_p100ms,cg_MRR,cg_hit1,cg_hit2,cg_hit3,cg_n,cg_p95ms,cg_p100ms,ctags_MRR,ctags_hit1,ctags_hit2,ctags_hit3,ctags_n,ctags_p95ms,ctags_p100ms,ast-grep_MRR,ast-grep_hit1,ast-grep_hit2,ast-grep_hit3,ast-grep_n,ast-grep_p95ms,ast-grep_p100ms,serena_MRR,serena_hit1,serena_hit2,serena_hit3,serena_n,serena_p95ms,serena_p100ms,code-index-mcp_MRR,code-index-mcp_hit1,code-index-mcp_hit2,code-index-mcp_hit3,code-index-mcp_n,code-index-mcp_p95ms,code-index-mcp_p100ms,jcodemunch_MRR,jcodemunch_hit1,jcodemunch_hit2,jcodemunch_hit3,jcodemunch_n,jcodemunch_p95ms,jcodemunch_p100ms,rg_MRR,rg_hit1,rg_hit2,rg_hit3,rg_n,rg_p95ms,rg_p100ms,cmm_MRR,cmm_hit1,cmm_hit2,cmm_hit3,cmm_n,cmm_p95ms,cmm_p100ms,fff_MRR,fff_hit1,fff_hit2,fff_hit3,fff_n,fff_p95ms,fff_p100ms,ccc_MRR,ccc_hit1,ccc_hit2,ccc_hit3,ccc_n,ccc_p95ms,ccc_p100ms
pytest,semantic,0.5817,0.4264,0.5891,0.7054,129,30,229,0.5817,0.4264,0.5891,0.7054,129,27,239,0.5473,0.3798,0.5659,0.6512,129,98,228,0.5473,0.3798,0.5659,0.6512,129,91,220,0.0000,0.0000,0.0000,0.0000,129,65,190,0.1000,0.0465,0.0853,0.1473,129,5,14,0.0000,0.0000,0.0000,0.0000,129,2,8,0.0078,0.0078,0.0078,0.0078,129,684,792,0.0181,0.0078,0.0233,0.0310,129,440,785,0.0008,0.0000,0.0000,0.0000,129,79,204,0.0651,0.0155,0.0775,0.1163,129,54,223,0.0000,0.0000,0.0000,0.0000,129,20,57,0.1478,0.0853,0.1473,0.1705,129,53,172,0.0111,0.0078,0.0078,0.0078,129,10,44,0.4782,0.3488,0.4961,0.5349,129,371,520
pytest,swebench,0.5195,0.3737,0.6061,0.6364,99,30,229,0.5195,0.3737,0.6061,0.6364,99,27,239,0.4972,0.3737,0.5152,0.5455,99,98,228,0.4972,0.3737,0.5152,0.5455,99,91,220,0.4133,0.3131,0.4242,0.4545,99,65,190,0.2790,0.2121,0.2929,0.3333,99,5,14,0.1649,0.1313,0.1818,0.1818,99,2,8,0.1674,0.0808,0.2121,0.2323,99,684,792,0.3483,0.2525,0.3434,0.4040,99,440,785,0.2003,0.1313,0.1818,0.2525,99,79,204,0.2476,0.1616,0.2424,0.2525,99,54,223,0.1855,0.1111,0.1717,0.2020,99,20,57,0.3684,0.2626,0.3636,0.4949,99,53,172,0.3280,0.2727,0.3434,0.3535,99,10,44,0.4171,0.2626,0.4242,0.5051,99,371,520
pytest,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scikit-learn,definition,0.6639,0.6200,0.6700,0.6800,100,34,142,0.6639,0.6200,0.6700,0.6800,100,33,196,0.6996,0.6300,0.7200,0.7500,100,127,244,0.6996,0.6300,0.7200,0.7500,100,119,292,0.6796,0.6100,0.7000,0.7300,100,82,260,0.6634,0.6000,0.6800,0.6900,100,13,28,0.5956,0.5000,0.6500,0.6700,100,1,3,0.5581,0.4600,0.5300,0.6400,100,779,983,0.5722,0.4800,0.6000,0.6200,100,775,1430,0.4049,0.3400,0.4100,0.4200,100,238,609,0.3884,0.2800,0.3800,0.4500,100,156,1022,0.5449,0.4700,0.5400,0.5500,100,38,68,0.5150,0.4000,0.6000,0.6300,100,64,147,0.5467,0.5100,0.5600,0.5700,100,15,31,0.5039,0.4400,0.5100,0.5400,100,385,494
scikit-learn,content,0.7399,0.6970,0.7374,0.7677,99,34,142,0.7399,0.6970,0.7374,0.7677,99,33,196,0.7844,0.7172,0.8081,0.8182,99,127,244,0.7844,0.7172,0.8081,0.8182,99,119,292,0.7390,0.6768,0.7576,0.7677,99,82,260,0.0000,0.0000,0.0000,0.0000,99,13,28,0.0000,0.0000,0.0000,0.0000,99,1,3,0.5557,0.5152,0.5354,0.5657,99,779,983,0.6179,0.5960,0.6061,0.6061,99,775,1430,0.5791,0.5354,0.5859,0.5960,99,238,609,0.6256,0.5859,0.6061,0.6465,99,156,1022,0.6326,0.5859,0.6162,0.6566,99,38,68,0.6614,0.6162,0.6869,0.6970,99,64,147,0.6514,0.6162,0.6465,0.6667,99,15,31,0.3742,0.3131,0.3636,0.4242,99,385,494
scikit-learn,semantic,0.6022,0.4692,0.6385,0.7000,130,34,142,0.6022,0.4692,0.6385,0.7000,130,33,196,0.6300,0.5000,0.6308,0.7538,130,127,244,0.6300,0.5000,0.6308,0.7538,130,119,292,0.0000,0.0000,0.0000,0.0000,130,82,260,0.0338,0.0231,0.0308,0.0385,130,13,28,0.0000,0.0000,0.0000,0.0000,130,1,3,0.0000,0.0000,0.0000,0.0000,130,779,983,0.0103,0.0000,0.0154,0.0231,130,775,1430,0.0005,0.0000,0.0000,0.0000,130,238,609,0.0238,0.0000,0.0077,0.0231,130,156,1022,0.0000,0.0000,0.0000,0.0000,130,38,68,0.1974,0.1154,0.2077,0.2615,130,64,147,0.0028,0.0000,0.0000,0.0000,130,15,31,0.6829,0.5615,0.7154,0.7923,130,385,494
scikit-learn,swebench,0.5454,0.4845,0.4948,0.5876,97,34,142,0.5454,0.4845,0.4948,0.5876,97,33,196,0.5866,0.5155,0.5670,0.6392,97,127,244,0.5866,0.5155,0.5670,0.6392,97,119,292,0.5351,0.4639,0.5155,0.5876,97,82,260,0.4316,0.4021,0.4124,0.4433,97,13,28,0.2450,0.2062,0.2784,0.2784,97,1,3,0.2985,0.2577,0.2990,0.3196,97,779,983,0.3653,0.3093,0.3918,0.3918,97,775,1430,0.2477,0.2062,0.2371,0.2474,97,238,609,0.2971,0.1959,0.2577,0.3402,97,156,1022,0.3075,0.2680,0.2990,0.3093,97,38,68,0.5629,0.4433,0.6289,0.6907,97,64,147,0.3929,0.3505,0.4124,0.4227,97,15,31,0.4330,0.3299,0.4433,0.4948,97,385,494
scikit-learn,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sphinx,definition,0.6584,0.5326,0.6848,0.7717,92,34,160,0.6584,0.5326,0.6848,0.7717,92,33,173,0.6823,0.5652,0.6957,0.7826,92,200,527,0.6823,0.5652,0.6957,0.7826,92,175,443,0.6823,0.5652,0.6957,0.7826,92,85,231,0.5831,0.5000,0.6196,0.6630,92,7,11,0.6128,0.5109,0.6522,0.6848,92,1,4,0.5362,0.4457,0.5435,0.5652,92,731,1082,0.5134,0.4130,0.5109,0.5761,92,909,1757,0.4198,0.2935,0.4022,0.5217,92,286,706,0.3996,0.2717,0.3913,0.4674,92,178,589,0.5431,0.4457,0.5217,0.5978,92,30,61,0.4778,0.3804,0.5217,0.5543,92,84,176,0.5143,0.4130,0.5543,0.5978,92,22,90,0.4342,0.3261,0.4457,0.5000,92,403,553
sphinx,content,0.7224,0.5979,0.7629,0.8144,97,34,160,0.7224,0.5979,0.7629,0.8144,97,33,173,0.7406,0.6186,0.7938,0.8351,97,200,527,0.7406,0.6186,0.7938,0.8351,97,175,443,0.7406,0.6186,0.7938,0.8351,97,85,231,0.0000,0.0000,0.0000,0.0000,97,7,11,0.0000,0.0000,0.0000,0.0000,97,1,4,0.5563,0.4742,0.5670,0.6289,97,731,1082,0.4805,0.3918,0.4742,0.5258,97,909,1757,0.6058,0.4948,0.6392,0.6907,97,286,706,0.6239,0.5567,0.6289,0.6598,97,178,589,0.6195,0.5258,0.6186,0.6495,97,30,61,0.5805,0.4845,0.6186,0.6495,97,84,176,0.6289,0.5258,0.6804,0.7010,97,22,90,0.4651,0.3505,0.5052,0.5567,97,403,553
sphinx,semantic,0.5215,0.4031,0.5581,0.5969,129,34,160,0.5215,0.4031,0.5581,0.5969,129,33,173,0.4515,0.2946,0.4574,0.5814,129,200,527,0.4515,0.2946,0.4574,0.5814,129,175,443,0.0000,0.0000,0.0000,0.0000,129,85,231,0.0200,0.0078,0.0155,0.0310,129,7,11,0.0000,0.0000,0.0000,0.0000,129,1,4,0.0000,0.0000,0.0000,0.0000,129,731,1082,0.0133,0.0078,0.0155,0.0155,129,909,1757,0.0017,0.0000,0.0000,0.0000,129,286,706,0.0485,0.0233,0.0388,0.0620,129,178,589,0.0000,0.0000,0.0000,0.0000,129,30,61,0.2237,0.1705,0.2403,0.2558,129,84,176,0.0194,0.0155,0.0233,0.0233,129,22,90,0.5650,0.4341,0.5969,0.6512,129,403,553
sphinx,swebench,0.4284,0.3229,0.4167,0.4792,96,34,160,0.4284,0.3229,0.4167,0.4792,96,33,173,0.4659,0.3646,0.4688,0.5104,96,200,527,0.4659,0.3646,0.4688,0.5104,96,175,443,0.4486,0.3542,0.4583,0.5000,96,85,231,0.3836,0.3021,0.4167,0.4271,96,7,11,0.1524,0.1354,0.1458,0.1458,96,1,4,0.2333,0.1875,0.2396,0.2604,96,731,1082,0.3230,0.2604,0.3333,0.3333,96,909,1757,0.2276,0.1667,0.2396,0.2604,96,286,706,0.2457,0.1354,0.2292,0.2812,96,178,589,0.1985,0.1562,0.2083,0.2292,96,30,61,0.5403,0.4688,0.5104,0.6146,96,84,176,0.3741,0.3438,0.3646,0.3854,96,22,90,0.2887,0.1875,0.2604,0.3229,96,403,553
sphinx,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sympy,definition,0.7914,0.7143,0.7959,0.8469,98,54,211,0.7914,0.7143,0.7959,0.8469,98,50,180,0.7453,0.6429,0.7755,0.8061,98,248,3490,0.7453,0.6429,0.7755,0.8061,98,252,2834,0.7453,0.6429,0.7755,0.8061,98,190,466,0.7440,0.6429,0.7653,0.7959,98,16,48,0.7504,0.6633,0.7755,0.7959,98,2,7,0.6559,0.5306,0.6735,0.7449,98,1133,1349,0.6307,0.4898,0.6837,0.7347,98,1190,22111,0.5138,0.3673,0.5204,0.6020,98,233,449,0.5189,0.3571,0.4796,0.6429,98,229,1492,0.6443,0.5408,0.6429,0.7041,98,26,93,0.6413,0.5510,0.6429,0.6735,98,108,221,0.6112,0.5102,0.6327,0.6837,98,10,89,0.5405,0.4592,0.5408,0.5612,98,488,1459
sympy,content,0.7391,0.6392,0.7629,0.8144,97,54,211,0.7391,0.6392,0.7629,0.8144,97,50,180,0.7394,0.6289,0.7938,0.8247,97,248,3490,0.7394,0.6289,0.7938,0.8247,97,252,2834,0.7394,0.6289,0.7938,0.8247,97,190,466,0.0000,0.0000,0.0000,0.0000,97,16,48,0.0000,0.0000,0.0000,0.0000,97,2,7,0.6906,0.5979,0.7216,0.7526,97,1133,1349,0.6236,0.5258,0.6289,0.6701,97,1190,22111,0.5489,0.4021,0.5567,0.6804,97,233,449,0.6444,0.5464,0.6495,0.7320,97,229,1492,0.6584,0.5464,0.6907,0.7423,97,26,93,0.5895,0.4639,0.6289,0.7010,97,108,221,0.6170,0.5052,0.6392,0.7113,97,10,89,0.4779,0.4124,0.4433,0.4948,97,488,1459
sympy,semantic,0.6507,0.5538,0.6538,0.6923,130,54,211,0.6507,0.5538,0.6538,0.6923,130,50,180,0.5933,0.4154,0.6462,0.7385,130,248,3490,0.5933,0.4154,0.6462,0.7385,130,252,2834,0.0000,0.0000,0.0000,0.0000,130,190,466,0.0298,0.0154,0.0308,0.0385,130,16,48,0.0000,0.0000,0.0000,0.0000,130,2,7,0.0000,0.0000,0.0000,0.0000,130,1133,1349,0.0000,0.0000,0.0000,0.0000,130,1190,22111,0.0014,0.0000,0.0000,0.0000,130,233,449,0.0296,0.0077,0.0231,0.0308,130,229,1492,0.0000,0.0000,0.0000,0.0000,130,26,93,0.2563,0.2000,0.2385,0.2923,130,108,221,0.0253,0.0077,0.0154,0.0231,130,10,89,0.6622,0.5538,0.6615,0.7538,130,488,1459
sympy,swebench,0.5184,0.4700,0.5100,0.5200,100,54,211,0.5184,0.4700,0.5100,0.5200,100,50,180,0.4968,0.4100,0.5000,0.5300,100,248,3490,0.4968,0.4100,0.5000,0.5300,100,252,2834,0.4233,0.3500,0.4200,0.4500,100,190,466,0.4367,0.3600,0.4200,0.4800,100,16,48,0.2835,0.2700,0.2800,0.2900,100,2,7,0.2942,0.2400,0.2800,0.3100,100,1133,1349,0.4415,0.3800,0.4500,0.4700,100,1190,22111,0.3280,0.2600,0.3200,0.3900,100,233,449,0.2635,0.1300,0.2000,0.3100,100,229,1492,0.3362,0.2900,0.3100,0.3200,100,26,93,0.5367,0.4700,0.5600,0.5800,100,108,221,0.4547,0.4100,0.4700,0.4800,100,10,89,0.2854,0.2100,0.2600,0.3300,100,488,1459
sympy,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linux,definition,0.9334,0.9000,0.9500,0.9600,100,212,282,0.9334,0.9000,0.9500,0.9600,100,212,279,0.9161,0.8800,0.9100,0.9500,100,314,656,0.9111,0.8700,0.9100,0.9500,100,325,497,0.9161,0.8800,0.9100,0.9500,100,267,861,0.6079,0.5800,0.6300,0.6300,100,213,361,0.7900,0.7900,0.7900,0.7900,100,0,3,0.2254,0.2000,0.2200,0.2500,100,3226,4829,0.6692,0.6100,0.7100,0.7200,100,5629,8202,0.7217,0.6300,0.7600,0.7900,100,930,1628,0.0360,0.0200,0.0300,0.0300,100,718,5932,0.6678,0.5500,0.6700,0.7400,100,63,93,0.7914,0.7400,0.8300,0.8400,100,896,1856,0.8108,0.7600,0.8500,0.8600,100,66,158,0.5456,0.4600,0.5300,0.6000,100,760,1233
linux,content,0.9950,0.9900,1.0000,1.0000,100,212,282,0.9950,0.9900,1.0000,1.0000,100,212,279,0.9825,0.9700,0.9900,0.9900,100,314,656,0.9825,0.9700,0.9900,0.9900,100,325,497,0.9825,0.9700,0.9900,0.9900,100,267,861,0.0000,0.0000,0.0000,0.0000,100,213,361,0.0000,0.0000,0.0000,0.0000,100,0,3,0.1700,0.1700,0.1700,0.1700,100,3226,4829,1.0000,1.0000,1.0000,1.0000,100,5629,8202,0.6783,0.6700,0.6800,0.6900,100,930,1628,0.1000,0.1000,0.1000,0.1000,100,718,5932,1.0000,1.0000,1.0000,1.0000,100,63,93,0.6900,0.6900,0.6900,0.6900,100,896,1856,0.9900,0.9900,0.9900,0.9900,100,66,158,0.6832,0.6100,0.6900,0.7400,100,760,1233
linux,semantic,0.3840,0.3231,0.3692,0.4462,130,212,282,0.3859,0.3231,0.3692,0.4462,130,212,279,0.4716,0.3615,0.4769,0.5538,130,314,656,0.4672,0.3615,0.4692,0.5462,130,325,497,0.0000,0.0000,0.0000,0.0000,130,267,861,0.0026,0.0000,0.0000,0.0000,130,213,361,0.0000,0.0000,0.0000,0.0000,130,0,3,0.0000,0.0000,0.0000,0.0000,130,3226,4829,0.0000,0.0000,0.0000,0.0000,130,5629,8202,0.0000,0.0000,0.0000,0.0000,130,930,1628,0.0045,0.0000,0.0000,0.0077,130,718,5932,0.0000,0.0000,0.0000,0.0000,130,63,93,0.2028,0.1231,0.2000,0.2923,130,896,1856,0.0045,0.0000,0.0000,0.0000,130,66,158,0.4975,0.3769,0.5077,0.6077,130,760,1233
linux,swebench,0.1164,0.0476,0.0952,0.1270,63,212,282,0.1164,0.0476,0.0952,0.1270,63,212,279,0.1601,0.1111,0.1270,0.1270,63,314,656,0.1601,0.1111,0.1270,0.1270,63,325,497,0.1561,0.1111,0.1270,0.1270,63,267,861,0.0177,0.0000,0.0159,0.0317,63,213,361,0.0000,0.0000,0.0000,0.0000,63,0,3,0.0182,0.0159,0.0159,0.0159,63,3226,4829,0.0223,0.0159,0.0159,0.0317,63,5629,8202,0.0159,0.0000,0.0000,0.0159,63,930,1628,0.0092,0.0000,0.0000,0.0159,63,718,5932,0.0317,0.0317,0.0317,0.0317,63,63,93,0.0739,0.0317,0.0635,0.0794,63,896,1856,0.0251,0.0159,0.0159,0.0317,63,66,158,0.1461,0.0952,0.1270,0.1746,63,760,1233
linux,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
